"inputs","ips2merge","ips","basename"
"SRR947267","NA","SRR947268","FKH-2_rep1_L3_herm__SRR947267vSRR947268"
"SRR947269","SRR947270;SRR947271","NA","FKH-2_rep2_L3_herm__SRR947269vSRR947270-SRR947271"
"SRR947272","NA","SRR947273","MML-1_rep1_L3_herm__SRR947272vSRR947273"
"SRR947274","NA","SRR947275","MML-1_rep2_L3_herm__SRR947274vSRR947275"
"SRR947276","NA","SRR947277","NHR-76_rep1_L3_herm__SRR947276vSRR947277"
"SRR947278","SRR947279;SRR947280","NA","NHR-76_rep2_L3_herm__SRR947278vSRR947279-SRR947280"
"SRR947362","NA","SRR947363","NHR-23_rep1_L3_herm__SRR947362vSRR947363"
"SRR947364","NA","SRR947365","NHR-23_rep2_L3_herm__SRR947364vSRR947365"
"SRR947366","NA","SRR947367","SKN-1_rep1_L3_herm__SRR947366vSRR947367"
"SRR947368","NA","SRR947369","SKN-1_rep2_L3_herm__SRR947368vSRR947369"
"SRR947388","SRR947389;SRR947390","NA","ELT-1_rep1_L3_herm__SRR947388vSRR947389-SRR947390"
"SRR947391","NA","SRR947392","ELT-1_rep2_L3_herm__SRR947391vSRR947392"
"SRR947409","NA","SRR947410","NHR-237_rep1_L3_herm__SRR947409vSRR947410"
"SRR947411","NA","SRR947412","NHR-237_rep2_L3_herm__SRR947411vSRR947412"
"SRR947433","NA","SRR947434","NHR-11_rep1_L3_herm__SRR947433vSRR947434"
"SRR947435","NA","SRR947436","NHR-11_rep2_L3_herm__SRR947435vSRR947436"
"SRR947485","NA","SRR947486","NHR-67_rep1_L3_herm__SRR947485vSRR947486"
"SRR947487","NA","SRR947488","NHR-67_rep2_L3_herm__SRR947487vSRR947488"
"SRR947558","NA","SRR947559","NFYA-1_rep1_L3_herm__SRR947558vSRR947559"
"SRR947560","NA","SRR947561","NFYA-1_rep2_L3_herm__SRR947560vSRR947561"
"SRR947578","NA","SRR947580","LIN-61_rep1_L3_herm-male__SRR947578vSRR947580"
"SRR947579","NA","SRR947581","LIN-61_rep2_L3_herm-male__SRR947579vSRR947581"
"SRR947582","NA","SRR947584","H3K9acS10_rep1_L3_herm-male__SRR947582vSRR947584"
"SRR947583","NA","SRR947585","H3K9acS10_rep2_L3_herm-male__SRR947583vSRR947585"
"SRR192330;SRR190662;SRR190676","NA","SRR190694;SRR190695;SRR190704;SRR190705;SRR190713;SRR190714","H3K4me3_rep1_L3_herm__SRR192330-SRR190662-SRR190676vSRR190694;H3K4me3_rep2_L3_herm__SRR192330-SRR190662-SRR190676vSRR190695;H3K9ac_rep1_L3_herm__SRR192330-SRR190662-SRR190676vSRR190704;H3K9ac_rep2_L3_herm__SRR192330-SRR190662-SRR190676vSRR190705;H3K4me3_rep3_L3_herm__SRR192330-SRR190662-SRR190676vSRR190713;H3K4me3_rep4_L3_herm__SRR192330-SRR190662-SRR190676vSRR190714"
"SRR340086","NA","SRR340085;SRR340087","H3K36me3_rep1_L3_herm__SRR340086vSRR340085;H3K36me3_rep2_L3_herm__SRR340086vSRR340087"
"SRR849515","NA","SRR849517","ZTF-11_rep1_L3_herm__SRR849515vSRR849517"
"SRR849516","NA","SRR849518","ZTF-11_rep2_L3_herm__SRR849516vSRR849518"
"SRR849693","NA","SRR849695","JUN-1_rep1_L3_herm__SRR849693vSRR849695"
"SRR849694","NA","SRR849696","JUN-1_rep2_L3_herm__SRR849694vSRR849696"
"SRR849729","NA","SRR849731","NHR-12_rep1_L3_herm__SRR849729vSRR849731"
"SRR849730","NA","SRR849732","NHR-12_rep2_L3_herm__SRR849730vSRR849732"
"SRR849745","NA","SRR849747","CEH-28_rep1_L3_herm__SRR849745vSRR849747"
"SRR849746","NA","SRR849748","CEH-28_rep2_L3_herm__SRR849746vSRR849748"
"SRR701502","NA","SRR701504","R02D3.7_rep1_L3_herm__SRR701502vSRR701504"
"SRR701503","NA","SRR701505","R02D3.7_rep2_L3_herm__SRR701503vSRR701505"
"SRR1159142","NA","SRR1159144","HTZ-1_rep1_L3_herm-male__SRR1159142vSRR1159144"
"SRR1159143","NA","SRR1159145","HTZ-1_rep2_L3_herm-male__SRR1159143vSRR1159145"
"SRR1163521","NA","SRR1163523","H3K79me3_rep1_L3_herm-male__SRR1163521vSRR1163523"
"SRR1163522","NA","SRR1163524","H3K79me3_rep2_L3_herm-male__SRR1163522vSRR1163524"
"SRR1163525","NA","SRR1163527","H3K9me3_rep1_L3_herm-male__SRR1163525vSRR1163527"
"SRR1163526","NA","SRR1163528","H3K9me3_rep2_L3_herm-male__SRR1163526vSRR1163528"
"SRR1163529","NA","SRR1163531","H3K9me3_rep1_L3_herm-male__SRR1163529vSRR1163531"
"SRR1163530","NA","SRR1163532","H3K9me3_rep2_L3_herm-male__SRR1163530vSRR1163532"
"SRR1163533","NA","SRR1163535","H3K36me2_rep1_L3_herm-male__SRR1163533vSRR1163535"
"SRR1163534","NA","SRR1163536","H3K36me2_rep2_L3_herm-male__SRR1163534vSRR1163536"
"SRR1163537","NA","SRR1163539","H3K36ac_rep1_L3_herm-male__SRR1163537vSRR1163539"
"SRR1163538","NA","SRR1163540","H3K36ac_rep2_L3_herm-male__SRR1163538vSRR1163540"
"SRR1163541","NA","SRR1163543","H3K27me1_rep1_L3_herm-male__SRR1163541vSRR1163543"
"SRR1163542","NA","SRR1163544","H3K27me1_rep2_L3_herm-male__SRR1163542vSRR1163544"
"SRR1163545","NA","SRR1163547","H3K27me3_rep1_L3_herm-male__SRR1163545vSRR1163547"
"SRR1163546","NA","SRR1163548","H3K27me3_rep2_L3_herm-male__SRR1163546vSRR1163548"
"SRR1163549","NA","SRR1163551","H3K18ac_rep1_L3_herm-male__SRR1163549vSRR1163551"
"SRR1163550","NA","SRR1163552","H3K18ac_rep2_L3_herm-male__SRR1163550vSRR1163552"
"SRR1163553","NA","SRR1163555","H3K79me2_rep1_L3_herm-male__SRR1163553vSRR1163555"
"SRR1163554","NA","SRR1163556","H3K79me2_rep2_L3_herm-male__SRR1163554vSRR1163556"
"SRR1163557","NA","SRR1163559","H3K36me1_rep1_L3_herm-male__SRR1163557vSRR1163559"
"SRR1163558","NA","SRR1163560","H3K36me1_rep2_L3_herm-male__SRR1163558vSRR1163560"
"SRR1163561","NA","SRR1163563","H3K9me2_rep1_L3_herm-male__SRR1163561vSRR1163563"
"SRR1163562","NA","SRR1163564","H3K9me2_rep2_L3_herm-male__SRR1163562vSRR1163564"
"SRR1163643","NA","SRR1163645","HPL-2_rep1_L3_herm-male__SRR1163643vSRR1163645"
"SRR1163644","NA","SRR1163646","HPL-2_rep2_L3_herm-male__SRR1163644vSRR1163646"
"SRR707558","NA","SRR707560","ZK377.2_rep1_L3_herm__SRR707558vSRR707560"
"SRR707559","NA","SRR707561","ZK377.2_rep2_L3_herm__SRR707559vSRR707561"
"SRR1265810","NA","SRR1265812","H3_rep1_L3_herm-male__SRR1265810vSRR1265812"
"SRR1265811","NA","SRR1265813","H3_rep2_L3_herm-male__SRR1265811vSRR1265813"
"SRR1265814","NA","SRR1265816","H3K9ac_rep1_L3_herm-male__SRR1265814vSRR1265816"
"SRR1265815","NA","SRR1265817","H3K9ac_rep2_L3_herm-male__SRR1265815vSRR1265817"
"SRR1265826","NA","SRR1265828","H3K9me1_rep1_L3_herm-male__SRR1265826vSRR1265828"
"SRR1265827","NA","SRR1265829","H3K9me1_rep2_L3_herm-male__SRR1265827vSRR1265829"
"SRR1265830","NA","SRR1265832","H3K4me1_rep1_L3_herm-male__SRR1265830vSRR1265832"
"SRR1265831","NA","SRR1265833","H3K4me1_rep2_L3_herm-male__SRR1265831vSRR1265833"
"SRR1198351","NA","SRR1198353","LIN-53_rep1_L3_herm-male__SRR1198351vSRR1198353"
"SRR1198352","NA","SRR1198354","LIN-53_rep2_L3_herm-male__SRR1198352vSRR1198354"
"SRR1198368","NA","SRR1198370","H4K20me1_rep1_L3_herm-male__SRR1198368vSRR1198370"
"SRR1198369","NA","SRR1198371","H4K20me1_rep2_L3_herm-male__SRR1198369vSRR1198371"
"SRR1198479","NA","SRR1198481","HDA-1_rep1_L3_herm-male__SRR1198479vSRR1198481"
"SRR1198480","NA","SRR1198482","HDA-1_rep2_L3_herm-male__SRR1198480vSRR1198482"
"SRR1198483","NA","SRR1198484","LET-418_rep1_L3_herm-male__SRR1198483vSRR1198484"
"SRR1198486","NA","SRR1198488","LET-418_rep1_L3_herm-male__SRR1198486vSRR1198488"
"SRR1198487","NA","SRR1198489","LET-418_rep2_L3_herm-male__SRR1198487vSRR1198489"
"SRR1198490","NA","SRR1198492","LIN-61_rep1_L3_herm-male__SRR1198490vSRR1198492"
"SRR1198491","NA","SRR1198493","LIN-61_rep2_L3_herm-male__SRR1198491vSRR1198493"
"SRR1198494","NA","SRR1198496","NURF-1_rep1_L3_herm-male__SRR1198494vSRR1198496"
"SRR1198495","NA","SRR1198497","NURF-1_rep2_L3_herm-male__SRR1198495vSRR1198497"
"SRR1198498","NA","SRR1198500","NURF-1_rep1_L3_herm-male__SRR1198498vSRR1198500"
"SRR1198499","NA","SRR1198501","NURF-1_rep2_L3_herm-male__SRR1198499vSRR1198501"
"SRR1198502","NA","SRR1198504","NURF-1_rep1_L3_herm-male__SRR1198502vSRR1198504"
"SRR1198503","NA","SRR1198505","NURF-1_rep2_L3_herm-male__SRR1198503vSRR1198505"
"SRR1198506","NA","SRR1198508","H4K8ac_rep1_L3_herm-male__SRR1198506vSRR1198508"
"SRR1198507","NA","SRR1198509","H4K8ac_rep2_L3_herm-male__SRR1198507vSRR1198509"
"SRR1198518","NA","SRR1198520","ZFP-1_rep1_L3_herm-male__SRR1198518vSRR1198520"
"SRR1198519","NA","SRR1198521","ZFP-1_rep2_L3_herm-male__SRR1198519vSRR1198521"
"SRR1198629","NA","SRR1198631","RPC-1_rep1_L3_herm-male__SRR1198629vSRR1198631"
"SRR1198630","NA","SRR1198632","RPC-1_rep2_L3_herm-male__SRR1198630vSRR1198632"
"SRR1230857;SRR1230858","SRR1230855;SRR1230856","NA","H4K16ac_rep1_L3_herm-male__SRR1230857-SRR1230858vSRR1230855-SRR1230856"
