"Run","AvgSpotLen","Bases","BioSample","Experiment","GEO_Accession..exp.","Instrument","libType","ReleaseDate","Sample.Name","SRA.Study","BioProject","sex","stage","strain","genotype","target","antibody","replicate","Input_or_IP","matchedInputs","mergeInputs","matchedIPs","mergeIPs","basename"
"SRR947267",32,172768608,"SAMN02230956","SRX331045","GSM1183569","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183569","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep1","Input",NA,FALSE,"SRR947268",FALSE,"SRR947267_L3_herm_FKH-2_Input_rep1"
"SRR947268",32,152603808,"SAMN02230941","SRX331046","GSM1183570","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183570","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep1","ChIP","SRR947267",FALSE,NA,FALSE,"SRR947268_L3_herm_FKH-2_ChIP_rep1"
"SRR947269",32,167095232,"SAMN02230939","SRX331047","GSM1183571","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183571","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","Input",NA,FALSE,"SRR947270;SRR947271",TRUE,"SRR947269_L3_herm_FKH-2_Input_rep2"
"SRR947270",32,68689696,"SAMN02230954","SRX331048","GSM1183572","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183572","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","ChIP","SRR947269",FALSE,NA,FALSE,"SRR947270_L3_herm_FKH-2_ChIP_rep2"
"SRR947271",32,58663776,"SAMN02230954","SRX331048","GSM1183572","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183572","SRP028416","PRJNA63455","herm","L3","OP185","unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119)","FKH-2","GFP","rep2","ChIP","SRR947269",FALSE,NA,FALSE,"SRR947271_L3_herm_FKH-2_ChIP_rep2"
"SRR947272",32,140018944,"SAMN02230940","SRX331049","GSM1183573","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183573","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep1","Input",NA,FALSE,"SRR947273",FALSE,"SRR947272_L3_herm_MML-1_Input_rep1"
"SRR947273",32,160277248,"SAMN02230947","SRX331050","GSM1183574","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183574","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep1","ChIP","SRR947272",FALSE,NA,FALSE,"SRR947273_L3_herm_MML-1_ChIP_rep1"
"SRR947274",32,71275360,"SAMN02230950","SRX331051","GSM1183575","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183575","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep2","Input",NA,FALSE,"SRR947275",FALSE,"SRR947274_L3_herm_MML-1_Input_rep2"
"SRR947275",32,100369792,"SAMN02230938","SRX331052","GSM1183576","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183576","SRP028417","PRJNA63455","herm","L3","OP198","unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119)","MML-1","GFP","rep2","ChIP","SRR947274",FALSE,NA,FALSE,"SRR947275_L3_herm_MML-1_ChIP_rep2"
"SRR947276",32,125694464,"SAMN02230931","SRX331053","GSM1183577","Illumina Genome Analyzer","SINGLE","2015-07-22T00:00:00Z","GSM1183577","SRP028418","PRJNA63455","herm","L3","OP203","unc-119(ed3); wgIs203(nhr-76::TY1 EGFP FLAG; unc-119)","NHR-76","GFP","rep1","Input",NA,FALSE,"SRR947277",FALSE,"SRR947276_L3_herm_NHR-76_Input_rep1"
