inputs;ips;basename;
SRR947267;SRR947268;FKH-2_rep1_L3_herm__SRR947267vSRR947268;NA
SRR947272;SRR947273;MML-1_rep1_L3_herm__SRR947272vSRR947273;NA
SRR947274;SRR947275;MML-1_rep2_L3_herm__SRR947274vSRR947275;NA
SRR947276;SRR947277;NHR-76_rep1_L3_herm__SRR947276vSRR947277;NA
SRR947362;SRR947363;NHR-23_rep1_L3_herm__SRR947362vSRR947363;NA
SRR947364;SRR947365;NHR-23_rep2_L3_herm__SRR947364vSRR947365;NA
SRR947366;SRR947367;SKN-1_rep1_L3_herm__SRR947366vSRR947367;NA
SRR947368;SRR947369;SKN-1_rep2_L3_herm__SRR947368vSRR947369;NA
SRR947391;SRR947392;ELT-1_rep2_L3_herm__SRR947391vSRR947392;NA
SRR947409;SRR947410;NHR-237_rep1_L3_herm__SRR947409vSRR947410;NA
SRR947411;SRR947412;NHR-237_rep2_L3_herm__SRR947411vSRR947412;NA
SRR947433;SRR947434;NHR-11_rep1_L3_herm__SRR947433vSRR947434;NA
SRR947435;SRR947436;NHR-11_rep2_L3_herm__SRR947435vSRR947436;NA
SRR947485;SRR947486;NHR-67_rep1_L3_herm__SRR947485vSRR947486;NA
SRR947487;SRR947488;NHR-67_rep2_L3_herm__SRR947487vSRR947488;NA
SRR947558;SRR947559;NFYA-1_rep1_L3_herm__SRR947558vSRR947559;NA
SRR947560;SRR947561;NFYA-1_rep2_L3_herm__SRR947560vSRR947561;NA
SRR947578;SRR947580;LIN-61_rep1_L3_herm-male__SRR947578vSRR947580;NA
SRR947579;SRR947581;LIN-61_rep2_L3_herm-male__SRR947579vSRR947581;NA
SRR947582;SRR947584;H3K9acS10_rep1_L3_herm-male__SRR947582vSRR947584;NA
SRR947583;SRR947585;H3K9acS10_rep2_L3_herm-male__SRR947583vSRR947585;NA
SRR192330;SRR190694;H3K4me3_rep1_L3_herm__SRR192330vsSRR190694;Sorted out based on GEO/SRR
SRR190676;SRR190695;H3K4me3_rep1_L3_herm__SRR190676vsSRR190695;Sorted out based on GEO/SRR
SRR190662;SRR340085;H3K36me3_rep1_L3_herm__SRR190662vSRR340085;Sorted out based on GEO/SRR
SRR340086;SRR340087;H3K36me3_rep2_L3_herm__SRR340086vSRR340087;Sorted out based on GEO/SRR
SRR849515;SRR849517;ZTF-11_rep1_L3_herm__SRR849515vSRR849517;NA
SRR849516;SRR849518;ZTF-11_rep2_L3_herm__SRR849516vSRR849518;NA
SRR849693;SRR849695;JUN-1_rep1_L3_herm__SRR849693vSRR849695;NA
SRR849694;SRR849696;JUN-1_rep2_L3_herm__SRR849694vSRR849696;NA
SRR849729;SRR849731;NHR-12_rep1_L3_herm__SRR849729vSRR849731;NA
SRR849730;SRR849732;NHR-12_rep2_L3_herm__SRR849730vSRR849732;NA
SRR849745;SRR849747;CEH-28_rep1_L3_herm__SRR849745vSRR849747;NA
SRR849746;SRR849748;CEH-28_rep2_L3_herm__SRR849746vSRR849748;NA
SRR701502;SRR701504;R02D3.7_rep1_L3_herm__SRR701502vSRR701504;NA
SRR701503;SRR701505;R02D3.7_rep2_L3_herm__SRR701503vSRR701505;NA
SRR1159142;SRR1159144;HTZ-1_rep1_L3_herm-male__SRR1159142vSRR1159144;NA
SRR1159143;SRR1159145;HTZ-1_rep2_L3_herm-male__SRR1159143vSRR1159145;NA
SRR1163521;SRR1163523;H3K79me3_rep1_L3_herm-male__SRR1163521vSRR1163523;NA
SRR1163522;SRR1163524;H3K79me3_rep2_L3_herm-male__SRR1163522vSRR1163524;NA
SRR1163525;SRR1163527;H3K9me3_rep1_L3_herm-male__SRR1163525vSRR1163527;NA
SRR1163526;SRR1163528;H3K9me3_rep2_L3_herm-male__SRR1163526vSRR1163528;NA
SRR1163529;SRR1163531;H3K9me3_rep1_L3_herm-male__SRR1163529vSRR1163531;NA
SRR1163530;SRR1163532;H3K9me3_rep2_L3_herm-male__SRR1163530vSRR1163532;NA
SRR1163533;SRR1163535;H3K36me2_rep1_L3_herm-male__SRR1163533vSRR1163535;NA
SRR1163534;SRR1163536;H3K36me2_rep2_L3_herm-male__SRR1163534vSRR1163536;NA
SRR1163537;SRR1163539;H3K36ac_rep1_L3_herm-male__SRR1163537vSRR1163539;NA
SRR1163538;SRR1163540;H3K36ac_rep2_L3_herm-male__SRR1163538vSRR1163540;NA
SRR1163541;SRR1163543;H3K27me1_rep1_L3_herm-male__SRR1163541vSRR1163543;NA
SRR1163542;SRR1163544;H3K27me1_rep2_L3_herm-male__SRR1163542vSRR1163544;NA
SRR1163545;SRR1163547;H3K27me3_rep1_L3_herm-male__SRR1163545vSRR1163547;NA
SRR1163546;SRR1163548;H3K27me3_rep2_L3_herm-male__SRR1163546vSRR1163548;NA
SRR1163549;SRR1163551;H3K18ac_rep1_L3_herm-male__SRR1163549vSRR1163551;NA
SRR1163550;SRR1163552;H3K18ac_rep2_L3_herm-male__SRR1163550vSRR1163552;NA
SRR1163553;SRR1163555;H3K79me2_rep1_L3_herm-male__SRR1163553vSRR1163555;NA
SRR1163554;SRR1163556;H3K79me2_rep2_L3_herm-male__SRR1163554vSRR1163556;NA
SRR1163557;SRR1163559;H3K36me1_rep1_L3_herm-male__SRR1163557vSRR1163559;NA
SRR1163558;SRR1163560;H3K36me1_rep2_L3_herm-male__SRR1163558vSRR1163560;NA
SRR1163561;SRR1163563;H3K9me2_rep1_L3_herm-male__SRR1163561vSRR1163563;NA
SRR1163562;SRR1163564;H3K9me2_rep2_L3_herm-male__SRR1163562vSRR1163564;NA
SRR1163643;SRR1163645;HPL-2_rep1_L3_herm-male__SRR1163643vSRR1163645;NA
SRR1163644;SRR1163646;HPL-2_rep2_L3_herm-male__SRR1163644vSRR1163646;NA
SRR707558;SRR707560;ZK377.2_rep1_L3_herm__SRR707558vSRR707560;NA
SRR707559;SRR707561;ZK377.2_rep2_L3_herm__SRR707559vSRR707561;NA
SRR1265810;SRR1265812;H3_rep1_L3_herm-male__SRR1265810vSRR1265812;NA
SRR1265811;SRR1265813;H3_rep2_L3_herm-male__SRR1265811vSRR1265813;NA
SRR1265814;SRR1265816;H3K9ac_rep1_L3_herm-male__SRR1265814vSRR1265816;NA
SRR1265815;SRR1265817;H3K9ac_rep2_L3_herm-male__SRR1265815vSRR1265817;NA
SRR1265826;SRR1265828;H3K9me1_rep1_L3_herm-male__SRR1265826vSRR1265828;NA
SRR1265827;SRR1265829;H3K9me1_rep2_L3_herm-male__SRR1265827vSRR1265829;NA
SRR1265830;SRR1265832;H3K4me1_rep1_L3_herm-male__SRR1265830vSRR1265832;NA
SRR1265831;SRR1265833;H3K4me1_rep2_L3_herm-male__SRR1265831vSRR1265833;NA
SRR1198351;SRR1198353;LIN-53_rep1_L3_herm-male__SRR1198351vSRR1198353;NA
SRR1198352;SRR1198354;LIN-53_rep2_L3_herm-male__SRR1198352vSRR1198354;NA
SRR1198368;SRR1198370;H4K20me1_rep1_L3_herm-male__SRR1198368vSRR1198370;NA
SRR1198369;SRR1198371;H4K20me1_rep2_L3_herm-male__SRR1198369vSRR1198371;NA
SRR1198479;SRR1198481;HDA-1_rep1_L3_herm-male__SRR1198479vSRR1198481;NA
SRR1198480;SRR1198482;HDA-1_rep2_L3_herm-male__SRR1198480vSRR1198482;NA
SRR1198483;SRR1198484;LET-418_rep1_L3_herm-male__SRR1198483vSRR1198484;NA
SRR1198486;SRR1198488;LET-418_rep1_L3_herm-male__SRR1198486vSRR1198488;NA
SRR1198487;SRR1198489;LET-418_rep2_L3_herm-male__SRR1198487vSRR1198489;NA
SRR1198490;SRR1198492;LIN-61_rep1_L3_herm-male__SRR1198490vSRR1198492;NA
SRR1198491;SRR1198493;LIN-61_rep2_L3_herm-male__SRR1198491vSRR1198493;NA
SRR1198494;SRR1198496;NURF-1_rep1_L3_herm-male__SRR1198494vSRR1198496;NA
SRR1198495;SRR1198497;NURF-1_rep2_L3_herm-male__SRR1198495vSRR1198497;NA
SRR1198498;SRR1198500;NURF-1_rep1_L3_herm-male__SRR1198498vSRR1198500;NA
SRR1198499;SRR1198501;NURF-1_rep2_L3_herm-male__SRR1198499vSRR1198501;NA
SRR1198502;SRR1198504;NURF-1_rep1_L3_herm-male__SRR1198502vSRR1198504;NA
SRR1198503;SRR1198505;NURF-1_rep2_L3_herm-male__SRR1198503vSRR1198505;NA
SRR1198506;SRR1198508;H4K8ac_rep1_L3_herm-male__SRR1198506vSRR1198508;NA
SRR1198507;SRR1198509;H4K8ac_rep2_L3_herm-male__SRR1198507vSRR1198509;NA
SRR1198518;SRR1198520;ZFP-1_rep1_L3_herm-male__SRR1198518vSRR1198520;NA
SRR1198519;SRR1198521;ZFP-1_rep2_L3_herm-male__SRR1198519vSRR1198521;NA
SRR1198629;SRR1198631;RPC-1_rep1_L3_herm-male__SRR1198629vSRR1198631;NA
SRR1198630;SRR1198632;RPC-1_rep2_L3_herm-male__SRR1198630vSRR1198632;NA
SRR1230857;SRR1230855;H4K16ac_rep1_L3_herm-male__SRR1230855vSRR1230857;Sorted out based on GEO/SRR
SRR1230858;SRR1230856;H4K16ac_rep2_L3_herm-male__SRR1230858vSRR1230856;Sorted out based on GEO/SRR
SRR192330;SRR190704;H3K9ac_rep1_L3_herm__SRR190704vsSRR192330;Sorted out based on GEO/SRR
SRR190676;SRR190705;H3K9ac_rep2_L3_herm__SRR190705vsSRR190676;Sorted out based on GEO/SRR
SRR947269;SRR947270 SRR947271;FKH-2_rep2_L3_herm__SRR947269vSRR947270-SRR947271;Moved from ips2merge to ips both datasets, remove space
SRR947278;SRR947279 SRR947280;NHR-76_rep2_L3_herm__SRR947278vSRR947279-SRR947280;Moved from ips2merge to ips both datasets, remove space
SRR947388;SRR947389 SRR947390;ELT-1_rep1_L3_herm__SRR947388vSRR947389-SRR947390;Moved from ips2merge to ips both datasets, remove space
