Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,Genotype,BioProject,Developmental_stage,sex,Development_stage,sex_type,Library Name,tissue,Cell_Line,stage,chip_antibody,transgene,chip_antibody_supplier,genotype/variation,strain/background,antibody_manufacturer,input_experiment/sample
SRR947263,ChIP-Seq,32,142052256,SAMN02230943,80732601,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331041,GSM1183565,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183565,AHA-1_GFP_L1_Input_Rep1,SRP028415,OP124(official name : OP124 genotype : unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bio...,unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG;unc-119),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947264,ChIP-Seq,32,92047936,SAMN02230959,52926349,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331042,GSM1183566,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183566,AHA-1_GFP_L1_ChIP_Rep1,SRP028415,OP124(official name : OP124 genotype : unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bio...,unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG;unc-119),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947265,ChIP-Seq,32,110341216,SAMN02230942,62327592,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331043,GSM1183567,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183567,AHA-1_GFP_L1_Input_Rep2,SRP028415,OP124(official name : OP124 genotype : unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bio...,unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG;unc-119),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947266,ChIP-Seq,32,86426336,SAMN02230945,48768746,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331044,GSM1183568,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183568,AHA-1_GFP_L1_ChIP_Rep2,SRP028415,OP124(official name : OP124 genotype : unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell Bio...,unc-119(ed3); wgIs124(aha-1::TY1 EGFP FLAG;unc-119),PRJNA63455,fed L1,hermaphrodite,,,,,,,,,,,,,
SRR947267,ChIP-Seq,32,172768608,SAMN02230956,116344069,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331045,GSM1183569,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183569,FKH-2_GFP_L3_Input_Rep1,SRP028416,OP185(official name : OP185 genotype : unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947268,ChIP-Seq,32,152603808,SAMN02230941,106180559,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331046,GSM1183570,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183570,FKH-2_GFP_L3_ChIP_Rep1,SRP028416,OP185(official name : OP185 genotype : unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947269,ChIP-Seq,32,167095232,SAMN02230939,112285262,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331047,GSM1183571,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183571,FKH-2_GFP_L3_Input_Rep2,SRP028416,OP185(official name : OP185 genotype : unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947270,ChIP-Seq,32,68689696,SAMN02230954,48784724,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331048,GSM1183572,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183572,FKH-2_GFP_L3_ChIP_Rep2,SRP028416,OP185(official name : OP185 genotype : unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947271,ChIP-Seq,32,58663776,SAMN02230954,41898137,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331048,GSM1183572,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183572,FKH-2_GFP_L3_ChIP_Rep2,SRP028416,OP185(official name : OP185 genotype : unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs185(fkh-2::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947272,ChIP-Seq,32,140018944,SAMN02230940,70523480,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331049,GSM1183573,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183573,MML-1_GFP_L3_Input_Rep1,SRP028417,OP198(official name : OP198 genotype : unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947273,ChIP-Seq,32,160277248,SAMN02230947,96674628,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331050,GSM1183574,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183574,MML-1_GFP_L3_ChIP_Rep1,SRP028417,OP198(official name : OP198 genotype : unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
SRR947274,ChIP-Seq,32,71275360,SAMN02230950,38260204,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX331051,GSM1183575,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1183575,MML-1_GFP_L3_Input_Rep2,SRP028417,OP198(official name : OP198 genotype : unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119) outcross : 3 mutagen : Bombard tags : GFP::3xFlag description : This strain's transgene was constructed by Mihail Sarov at the Max Planck Institute for Cell B...,unc-119(ed3); wgIs198(mml-1::TY1 EGFP FLAG C; unc-119),PRJNA63455,L3,hermaphrodite,,,,,,,,,,,,,
